ID,h2o,catboost,ag,final_prediction
2241,1,1,1,1
2274,0,0,0,0
1107,1,1,1,1
4478,1,0,1,1
5080,0,0,0,0
5725,0,0,0,0
456,0,0,0,0
1711,1,1,1,1
2940,1,0,0,0
3031,1,1,1,1
3551,0,0,0,0
5987,0,0,0,0
6925,0,1,0,0
5735,0,0,0,0
298,0,0,0,0
4020,1,1,1,1
3127,1,0,0,0
7432,0,0,0,0
7375,0,0,0,0
1996,1,1,1,1
5966,0,0,0,0
6697,0,0,0,0
3544,1,0,0,0
7122,0,0,0,0
1379,1,1,1,1
505,1,1,1,1
224,1,1,1,1
3024,1,1,1,1
2946,1,0,0,0
153,1,1,1,1
229,1,1,1,1
7411,0,0,0,0
2655,1,0,0,0
6972,0,0,0,0
320,1,0,1,1
5205,0,0,0,0
2454,1,1,1,1
3482,1,0,1,1
6708,0,0,0,0
3028,1,1,1,1
5747,1,0,0,0
787,1,1,0,1
6608,1,0,1,1
3188,0,0,0,0
5995,0,0,0,0
10,1,1,1,1
1556,1,1,1,1
2100,1,1,1,1
4496,0,0,0,0
6847,0,0,0,0
2681,1,1,1,1
570,1,0,1,1
4800,0,1,0,0
5642,0,0,0,0
6813,0,0,0,0
5820,0,0,0,0
3731,1,0,0,0
4586,1,1,0,1
6650,0,0,0,0
2024,1,0,0,0
3512,1,1,1,1
2532,1,0,0,0
3640,1,0,0,0
129,1,1,1,1
6712,0,0,0,0
6460,1,1,0,1
5050,0,0,0,0
4665,0,0,0,0
4532,0,0,0,0
2434,0,0,0,0
4832,0,0,0,0
5451,0,0,0,0
6220,0,0,0,0
1922,0,0,0,0
7414,0,0,0,0
4959,0,0,0,0
2165,1,1,1,1
7523,0,0,0,0
1448,1,1,1,1
2121,1,1,1,1
6991,0,0,0,0
6533,0,0,0,0
152,0,0,0,0
2474,1,1,0,1
6976,0,0,0,0
1208,1,1,1,1
6369,0,0,0,0
907,1,1,1,1
4663,1,0,1,1
2063,1,1,1,1
524,1,1,1,1
7455,1,1,0,1
5072,1,1,1,1
2293,1,0,1,1
7116,0,0,0,0
3319,0,0,0,0
5402,0,0,0,0
2703,1,1,1,1
3903,0,0,0,0
5498,0,0,0,0
3829,0,0,0,0
2327,0,0,0,0
5221,1,1,1,1
5517,0,0,0,0
3692,0,0,0,0
5198,1,0,0,0
2742,1,1,1,1
6303,0,0,0,0
1484,1,1,1,1
3124,0,0,0,0
2764,1,1,1,1
426,1,1,1,1
4334,1,0,1,1
1115,1,1,1,1
988,1,1,1,1
6412,0,0,0,0
681,1,1,1,1
4240,0,0,0,0
3757,1,0,1,1
3711,1,0,1,1
5911,1,0,0,0
6818,0,0,0,0
3933,0,1,0,0
5153,0,0,0,0
407,1,1,1,1
2665,1,1,1,1
6272,0,0,0,0
117,1,1,1,1
3536,1,0,0,0
5828,0,0,0,0
773,1,0,0,0
7026,0,0,0,0
4269,1,1,1,1
4874,0,0,0,0
6374,0,0,0,0
445,1,0,1,1
2019,1,1,1,1
3235,1,0,0,0
4380,0,0,0,0
