ID,h2o,catboost,xgb,final_prediction
2241,1,1,0,1
2274,0,0,0,0
1107,1,1,1,1
4478,1,1,0,1
5080,1,0,0,0
5725,0,0,0,0
456,0,1,1,1
1711,0,0,0,0
2940,1,1,0,1
3031,0,0,0,0
3551,0,1,0,0
5987,0,0,0,0
6925,1,1,0,1
5735,0,0,0,0
298,1,1,1,1
4020,1,1,1,1
3127,0,0,0,0
7432,0,0,0,0
7375,0,0,0,0
1996,1,1,1,1
5966,0,0,0,0
6697,0,0,0,0
3544,1,1,1,1
7122,0,0,0,0
1379,0,1,1,1
505,1,1,1,1
224,1,1,0,1
3024,1,1,0,1
2946,0,0,0,0
153,1,1,1,1
229,1,1,0,1
7411,0,1,0,0
2655,0,0,0,0
6972,1,0,1,1
320,1,1,1,1
5205,1,1,1,1
2454,0,0,0,0
3482,0,1,0,0
6708,0,0,0,0
3028,1,1,1,1
5747,0,0,0,0
787,0,0,0,0
6608,0,1,0,0
3188,1,1,1,1
5995,0,0,0,0
10,1,0,0,0
1556,1,1,1,1
2100,1,1,1,1
4496,1,1,0,1
6847,0,0,0,0
2681,0,0,0,0
570,0,1,0,0
4800,0,0,0,0
5642,0,0,0,0
6813,0,0,0,0
5820,0,0,0,0
3731,0,0,0,0
4586,1,1,1,1
6650,0,0,0,0
2024,0,0,0,0
3512,1,1,0,1
2532,0,0,0,0
3640,0,0,0,0
129,1,1,1,1
6712,0,0,0,0
6460,0,0,1,0
5050,1,1,1,1
4665,0,0,0,0
4532,1,1,1,1
2434,1,1,1,1
4832,1,1,1,1
5451,0,0,0,0
6220,1,1,0,1
1922,1,1,1,1
7414,1,1,0,1
4959,0,1,1,1
2165,1,1,0,1
7523,0,0,0,0
1448,1,1,1,1
2121,1,1,1,1
6991,0,1,0,0
6533,0,0,0,0
152,0,0,1,0
2474,0,0,0,0
6976,0,0,0,0
1208,1,1,0,1
6369,0,0,0,0
907,1,1,0,1
4663,1,0,0,0
2063,0,1,1,1
524,1,1,0,1
7455,0,0,0,0
5072,1,1,1,1
2293,1,1,0,1
7116,0,0,0,0
3319,1,1,1,1
5402,1,1,0,1
2703,1,0,1,1
3903,1,1,1,1
5498,0,0,0,0
3829,1,0,0,0
2327,1,1,1,1
5221,1,1,1,1
5517,0,0,0,0
3692,0,0,0,0
5198,1,1,1,1
2742,0,1,1,1
6303,0,0,0,0
1484,1,1,1,1
3124,1,1,1,1
2764,1,1,1,1
426,1,1,1,1
4334,1,1,0,1
1115,1,1,1,1
988,1,1,1,1
6412,0,0,0,0
681,1,1,1,1
4240,1,1,1,1
3757,1,0,0,0
3711,1,1,0,1
5911,0,0,0,0
6818,0,0,0,0
3933,0,0,0,0
5153,1,1,0,1
407,1,1,1,1
2665,1,0,0,0
6272,0,0,0,0
117,1,0,0,0
3536,0,0,0,0
5828,0,0,0,0
773,0,0,0,0
7026,0,0,0,0
4269,1,1,0,1
4874,0,1,1,1
6374,0,0,0,0
445,1,1,1,1
2019,1,1,1,1
3235,1,1,1,1
4380,1,1,0,1
4795,1,0,0,0
4221,0,1,0,0
5770,0,0,0,0
7457,0,1,1,1
4504,0,0,0,0
1818,1,1,1,1
227,1,1,1,1
3716,0,0,0,0
7568,0,0,0,0
4983,1,0,0,0
6101,0,0,1,0
601,1,1,1,1
6660,1,0,1,1
7578,1,0,1,1
5884,0,0,0,0
3296,1,1,1,1
6114,1,1,0,1
5306,0,1,0,0
93,1,1,1,1
6397,0,0,0,0
5393,0,0,0,0
5739,1,0,0,0
5782,1,1,1,1
4238,1,1,1,1
7349,0,0,0,0
7600,0,0,0,0
1841,1,1,0,1
2862,1,0,0,0
6413,0,0,0,0
337,1,1,0,1
84,1,1,1,1
5332,0,0,0,0
4147,0,0,1,0
5435,0,1,0,0
2462,1,1,1,1
6565,0,0,0,0
4895,0,1,0,0
1056,1,1,1,1
203,1,1,1,1
5183,1,1,1,1
376,1,0,0,0
2303,1,1,1,1
1659,1,1,1,1
6393,1,1,1,1
6433,1,0,1,1
3562,0,0,0,0
868,1,1,0,1
3374,1,1,1,1
2315,1,1,1,1
1822,1,1,0,1
2008,0,1,1,1
2290,1,1,1,1
6926,0,0,0,0
3914,1,1,0,1
4054,0,0,0,0
2072,1,1,0,1
1177,1,1,1,1
7402,0,0,0,0
4158,1,1,1,1
6495,1,1,1,1
6432,0,0,0,0
4853,1,1,0,1
5307,1,1,0,1
3661,1,1,1,1
5954,1,1,1,1
4273,1,1,1,1
4525,0,0,0,0
4989,1,1,1,1
4690,0,0,0,0
1071,1,1,1,1
537,1,1,0,1
1350,1,1,1,1
3079,1,1,1,1
4217,0,1,0,0
5453,1,1,0,1
5783,0,0,0,0
7456,0,1,1,1
6798,0,0,0,0
6197,1,1,0,1
6095,0,0,0,0
923,1,1,1,1
4290,1,1,1,1
2492,1,1,1,1
7562,0,0,0,0
2269,1,1,1,1
6988,0,0,0,0
4460,1,1,1,1
1285,1,1,1,1
6941,1,1,1,1
7620,1,0,0,0
382,1,1,1,1
2510,1,0,0,0
4357,1,0,0,0
6875,0,0,0,0
1929,0,0,0,0
5649,0,1,1,1
5250,1,1,0,1
1061,1,0,0,0
7593,0,0,0,0
6523,0,0,0,0
2284,0,0,0,0
431,1,1,0,1
2423,1,1,0,1
6352,0,0,0,0
5567,0,0,0,0
4403,0,0,0,0
1336,1,0,1,1
1138,1,0,1,1
5659,0,0,0,0
1597,1,1,1,1
101,1,1,1,1
796,1,0,0,0
5711,0,0,0,0
2173,1,1,1,1
4821,1,1,0,1
7461,0,1,0,0
3248,1,1,1,1
7308,1,1,1,1
3528,1,1,0,1
256,0,0,0,0
6502,0,0,0,0
7154,0,0,0,0
3098,0,1,1,1
6184,0,0,0,0
