ID,h2o,catboost,xgb,ag,final_prediction
2241,0,0,0,0,0
2274,0,0,0,0,0
1107,0,0,0,0,0
4478,0,0,0,0,0
5080,1,1,1,1,1
5725,1,1,1,1,1
456,1,0,1,0,1
1711,0,0,0,0,0
2940,1,1,1,1,1
3031,0,0,0,0,0
3551,0,0,1,0,0
5987,0,0,0,0,0
6925,0,0,0,0,0
5735,1,1,1,1,1
298,0,0,0,0,0
4020,0,0,0,1,0
3127,0,0,0,0,0
7432,0,0,0,0,0
7375,0,0,0,0,0
1996,0,0,0,0,0
5966,0,0,0,0,0
6697,0,0,0,0,0
3544,0,0,0,0,0
7122,0,0,0,0,0
1379,0,0,0,0,0
505,0,0,0,1,0
224,0,0,0,0,0
3024,0,0,0,0,0
2946,0,0,0,0,0
153,0,0,0,0,0
229,0,0,0,0,0
7411,0,0,0,0,0
2655,0,0,0,0,0
6972,0,0,0,0,0
320,1,1,0,0,1
5205,1,1,1,1,1
2454,0,0,0,0,0
3482,0,0,0,0,0
6708,0,0,0,0,0
3028,0,0,0,0,0
5747,1,1,1,1,1
787,0,0,0,0,0
6608,0,0,0,0,0
3188,0,0,0,0,0
5995,0,0,0,0,0
10,0,0,1,1,0
1556,0,0,0,0,0
2100,0,0,0,0,0
4496,1,1,0,0,1
6847,0,0,0,1,0
2681,0,0,0,0,0
570,0,0,0,0,0
4800,0,0,0,0,0
5642,1,1,1,1,1
6813,0,0,0,0,0
5820,1,1,1,1,1
3731,0,0,0,0,0
4586,0,0,0,0,0
6650,0,0,0,0,0
2024,0,0,1,0,0
3512,0,0,0,0,0
2532,0,0,0,0,0
3640,0,0,0,0,0
129,0,0,0,0,0
6712,0,0,0,0,0
6460,1,0,0,0,0
5050,1,1,1,1,1
4665,1,0,0,0,0
4532,0,0,0,0,0
2434,0,0,0,0,0
4832,0,0,0,0,0
5451,1,1,1,1,1
6220,0,0,0,0,0
1922,0,0,0,0,0
7414,0,0,0,0,0
4959,0,0,0,0,0
2165,0,0,0,0,0
7523,0,0,0,0,0
1448,0,0,0,0,0
2121,0,0,0,0,0
6991,0,1,1,1,1
6533,0,0,0,0,0
152,0,0,0,0,0
2474,0,0,0,0,0
6976,1,1,1,1,1
1208,0,0,0,0,0
6369,0,0,0,0,0
907,0,0,0,0,0
4663,0,0,0,0,0
2063,0,0,0,0,0
524,0,0,0,0,0
7455,0,0,0,0,0
5072,1,1,1,1,1
2293,0,0,0,0,0
7116,1,0,0,0,0
3319,0,0,0,0,0
5402,1,1,1,1,1
2703,0,0,0,0,0
3903,0,0,1,0,0
5498,1,1,1,1,1
3829,0,0,0,0,0
2327,0,0,0,1,0
5221,1,1,1,1,1
5517,1,1,1,1,1
3692,0,0,0,0,0
5198,0,1,0,0,0
2742,0,0,0,0,0
6303,0,0,0,0,0
1484,0,1,1,1,1
3124,0,0,0,0,0
2764,0,0,0,0,0
426,0,0,0,0,0
4334,0,0,0,0,0
1115,0,1,1,1,1
988,0,1,0,0,0
6412,0,0,0,0,0
681,1,0,1,1,1
4240,0,0,0,0,0
3757,0,0,0,0,0
3711,0,0,0,0,0
5911,1,1,1,1,1
6818,0,0,0,0,0
3933,0,0,0,0,0
5153,1,1,1,1,1
407,0,0,0,0,0
2665,0,0,0,0,0
6272,0,0,0,0,0
117,0,0,0,0,0
3536,0,0,0,0,0
5828,1,1,1,1,1
773,0,0,0,0,0
7026,0,0,0,0,0
4269,0,0,0,0,0
4874,0,0,0,0,0
6374,0,0,0,0,0
445,0,0,0,0,0
2019,0,0,0,0,0
3235,0,0,0,0,0
4380,1,0,1,0,1
4795,0,0,0,0,0
4221,0,0,0,0,0
5770,1,1,1,1,1
7457,0,0,0,0,0
4504,0,0,0,0,0
1818,0,1,1,1,1
227,0,0,0,0,0
3716,0,0,0,0,0
7568,0,0,0,0,0
4983,0,0,0,0,0
6101,0,0,0,0,0
601,0,0,0,0,0
6660,0,0,0,0,0
7578,0,0,0,0,0
5884,1,1,1,1,1
3296,0,0,0,0,0
6114,0,0,0,0,0
5306,1,1,1,1,1
93,0,0,0,0,0
6397,0,0,0,0,0
5393,1,1,1,1,1
5739,1,1,1,1,1
5782,1,1,1,1,1
4238,0,0,0,0,0
7349,0,0,0,0,0
7600,0,0,0,0,0
1841,0,0,0,1,0
2862,0,0,0,0,0
6413,0,0,0,0,0
337,0,0,0,0,0
84,0,0,0,0,0
5332,1,1,1,1,1
4147,0,0,0,0,0
5435,1,1,1,1,1
2462,0,0,0,0,0
6565,0,0,0,0,0
4895,0,0,0,0,0
1056,0,0,0,0,0
203,0,0,0,0,0
5183,1,1,1,1,1
376,0,0,0,0,0
2303,1,1,1,1,1
1659,0,0,0,0,0
6393,0,0,0,0,0
6433,0,0,0,0,0
3562,0,0,0,0,0
868,0,0,0,0,0
3374,0,0,0,0,0
2315,0,0,0,0,0
1822,0,0,0,0,0
2008,0,0,1,0,0
2290,0,0,1,0,0
6926,0,0,0,0,0
3914,0,0,0,0,0
4054,0,0,0,0,0
2072,0,0,0,0,0
1177,0,0,0,0,0
7402,0,0,0,0,0
4158,1,1,1,0,1
6495,0,0,0,0,0
6432,0,0,0,0,0
4853,0,0,0,0,0
5307,1,1,1,1,1
3661,1,0,0,0,0
5954,0,1,1,1,1
4273,0,0,0,0,0
4525,1,0,1,1,1
4989,0,0,0,0,0
4690,1,0,1,1,1
1071,0,0,0,0,0
537,0,1,1,1,1
1350,0,0,0,0,0
3079,0,0,0,0,0
4217,0,1,1,0,0
5453,1,1,1,1,1
5783,1,1,1,1,1
7456,0,0,0,0,0
6798,0,0,0,0,0
6197,0,0,0,0,0
6095,0,0,0,0,0
923,0,0,0,0,0
4290,0,0,0,0,0
2492,0,0,0,0,0
7562,0,0,0,0,0
2269,0,0,0,0,0
6988,0,0,0,0,0
4460,0,0,0,0,0
1285,0,0,0,0,0
6941,0,0,0,0,0
7620,0,0,0,0,0
382,0,0,0,0,0
2510,0,1,1,1,1
4357,0,0,0,0,0
6875,0,0,0,0,0
1929,0,0,0,0,0
5649,1,1,1,1,1
5250,1,1,1,1,1
1061,0,0,0,0,0
7593,0,0,0,1,0
6523,0,0,0,0,0
2284,0,0,0,0,0
431,0,0,0,0,0
2423,0,0,0,0,0
6352,0,0,1,1,0
5567,1,1,1,1,1
4403,0,0,0,0,0
1336,0,0,0,0,0
1138,0,0,0,0,0
5659,0,1,1,1,1
1597,0,0,0,0,0
101,0,0,0,0,0
796,0,0,0,0,0
5711,1,1,1,1,1
2173,0,0,0,0,0
4821,0,0,0,0,0
7461,0,0,0,0,0
3248,0,0,0,0,0
7308,0,0,0,0,0
3528,0,0,0,0,0
256,0,0,1,1,0
6502,0,0,0,0,0
7154,0,0,0,0,0
3098,0,1,0,0,0
6184,0,0,0,0,0
70,0,0,0,0,0
1282,0,0,0,0,0
3273,0,0,0,0,0
2741,0,0,0,0,0
2481,0,0,0,0,0
1920,0,0,0,0,0
4328,0,0,0,0,0
5874,1,1,1,1,1
7174,0,0,0,0,0
5842,1,1,1,1,1
7127,0,0,0,0,0
4224,0,0,0,0,0
5975,0,0,0,0,0
4200,0,0,0,0,0
2806,0,0,0,0,0
6458,0,0,0,1,0
5571,1,1,1,1,1
1777,0,0,0,0,0
4184,0,0,0,0,0
457,0,0,0,0,0
4303,0,1,0,1,0
6999,1,1,0,1,1
3876,0,1,1,1,1
2353,0,0,0,0,0
273,0,0,0,0,0
774,0,0,0,0,0
7347,0,0,0,0,0
5582,1,1,1,1,1
1414,0,0,0,0,0
1116,0,0,0,0,0
766,1,1,1,1,1
5340,1,1,1,1,1
913,0,0,0,0,0
5937,1,1,1,1,1
2363,0,0,0,0,0
504,0,0,0,0,0
5556,1,1,1,1,1
2417,1,1,1,1,1
1020,0,0,0,0,0
4678,0,1,1,0,0
6671,0,0,0,0,0
6643,0,0,0,1,0
6018,0,0,0,0,0
5367,0,1,0,1,0
3141,0,0,0,0,0
2362,0,0,0,0,0
2180,0,0,0,0,0
4566,0,0,0,0,0
1587,0,0,1,0,0
4855,0,0,0,0,0
1927,0,0,1,0,0
2845,0,1,1,1,1
4657,0,0,0,0,0
4284,0,1,0,0,0
6061,0,0,0,0,0
6587,0,0,0,0,0
3330,0,0,0,0,0
4600,0,0,0,0,0
1778,0,0,0,0,0
5635,1,1,1,1,1
2528,0,0,1,0,0
5670,1,1,1,1,1
7532,0,0,0,0,0
6469,0,0,0,1,0
1418,0,0,0,0,0
4765,0,0,0,1,0
2058,0,0,0,0,0
5832,1,1,1,1,1
4196,0,1,1,0,0
506,0,0,0,1,0
4274,0,0,0,0,0
2866,1,0,0,0,0
3214,0,0,0,0,0
2755,0,0,0,1,0
64,0,0,0,0,0
4425,0,0,0,0,0
6341,0,0,0,0,0
408,0,0,0,0,0
1798,0,1,1,0,0
5350,1,1,1,1,1
4559,0,0,0,0,0
1246,0,0,0,0,0
5322,1,1,1,1,1
4823,0,0,0,0,0
1953,0,0,0,0,0
1908,0,0,0,0,0
3797,0,0,0,0,0
2942,0,0,0,0,0
4087,0,0,0,0,0
5455,1,1,1,1,1
3388,0,0,0,0,0
4122,0,1,1,0,0
4498,0,0,0,0,0
1370,0,1,1,1,1
2289,0,0,0,0,0
769,1,1,1,1,1
7423,0,0,0,0,0
1968,1,0,1,1,1
1906,0,0,0,0,0
3685,1,1,1,1,1
6557,0,0,0,0,0
7439,0,0,0,0,0
1498,0,0,0,0,0
7323,0,0,0,0,0
4739,0,0,0,0,0
2729,0,0,0,0,0
887,0,0,0,0,0
2341,0,0,0,0,0
3285,1,0,1,1,1
5516,1,1,1,1,1
1410,0,0,0,0,0
2922,0,0,0,0,0
7210,0,0,0,0,0
1743,1,0,0,1,1
3468,0,0,1,1,0
6110,1,0,0,0,0
4374,0,0,0,0,0
956,0,0,0,0,0
7294,0,0,1,1,0
4339,0,0,0,0,0
2373,0,0,0,0,0
1582,0,0,0,0,0
6022,0,0,0,0,0
2977,0,0,0,0,0
1977,0,0,0,0,0
756,0,0,0,0,0
7146,0,0,0,0,0
6524,0,1,1,1,1
6907,0,0,0,0,0
3850,1,0,0,0,0
6980,0,0,0,0,0
1462,0,0,0,0,0
4436,0,0,0,0,0
848,0,0,0,0,0
2082,0,1,1,1,1
3734,0,0,0,0,0
4676,1,1,1,1,1
1505,0,0,0,0,0
1649,0,0,0,0,0
3659,0,0,0,0,0
5157,1,1,1,1,1
5844,1,1,1,1,1
5876,1,1,1,1,1
4343,0,0,0,0,0
3632,0,0,0,1,0
5069,1,1,1,1,1
2425,1,1,1,1,1
3398,0,0,0,0,0
5817,1,1,1,1,1
3403,0,0,0,0,0
5209,1,1,1,1,1
1496,0,0,0,0,0
6799,0,0,0,0,0
6781,1,0,0,0,0
4309,0,0,0,1,0
3939,0,0,0,0,0
338,0,0,1,1,0
7597,0,0,0,0,0
3727,0,0,0,0,0
2485,0,0,0,1,0
5222,1,1,1,1,1
4701,0,0,0,0,0
1672,0,0,0,0,0
560,0,0,0,0,0
4839,0,0,0,0,0
6961,0,0,0,0,0
904,0,0,0,0,0
3126,0,0,0,0,0
4297,0,0,0,0,0
6738,0,0,0,0,0
3520,0,1,0,1,0
6116,0,0,0,0,0
4554,0,0,0,0,0
2403,0,1,0,0,0
4970,1,0,0,1,1
5863,1,1,1,1,1
190,0,0,0,0,0
5025,1,1,1,1,1
1933,0,0,0,0,0
4530,0,0,0,0,0
1703,0,0,0,0,0
2473,1,1,1,1,1
5980,0,0,0,0,0
3291,0,0,0,0,0
5932,1,1,1,1,1
7333,0,0,0,0,0
4512,0,0,0,0,0
5326,1,1,1,1,1
2116,0,0,0,0,0
6084,0,0,0,0,0
2994,0,0,0,0,0
41,0,0,0,0,0
2959,0,0,0,0,0
3668,0,0,0,0,0
2179,0,0,0,0,0
6786,0,0,0,0,0
2643,0,0,0,0,0
3569,0,0,0,0,0
6518,0,0,0,0,0
4509,0,0,0,0,0
2567,0,0,0,0,0
6726,0,0,0,1,0
5108,1,1,1,1,1
2843,0,0,0,0,0
1364,0,0,0,0,0
6124,0,0,0,0,0
1664,0,0,0,0,0
4996,0,0,0,0,0
1655,0,0,0,0,0
5754,1,1,1,1,1
5897,1,1,1,1,1
3808,0,0,0,0,0
5070,1,1,1,1,1
4541,0,0,0,0,0
2157,0,0,0,0,0
1962,0,0,0,0,0
2948,1,1,1,1,1
6756,1,1,1,1,1
4282,0,0,0,0,0
7504,0,0,0,0,0
5186,1,1,1,1,1
4474,0,0,0,0,0
7225,0,0,0,0,0
1289,0,0,0,0,0
1753,0,1,1,1,1
1023,0,0,0,0,0
6117,0,0,0,0,0
4165,0,0,0,0,0
7488,0,0,0,0,0
3,0,0,0,0,0
444,0,0,0,0,0
1344,0,0,0,0,0
6826,0,0,0,0,0
5889,1,1,1,1,1
4627,0,0,0,0,0
4997,0,0,0,0,0
5880,1,1,1,1,1
3320,0,0,0,0,0
2139,0,0,0,0,0
5448,1,1,1,1,1
7470,0,0,0,0,0
1979,0,0,0,0,0
791,0,0,0,0,0
6166,0,0,0,0,0
1323,0,0,0,0,0
930,0,0,0,0,0
6986,0,0,0,0,0
3792,0,0,0,0,0
6529,1,1,1,0,1
5868,1,1,1,1,1
7180,0,0,0,0,0
6130,0,0,0,0,0
5900,0,0,0,0,0
4152,0,0,0,0,0
1593,0,0,0,0,0
2662,0,0,1,0,0
4522,0,0,0,0,0
2925,0,0,0,0,0
3402,1,0,0,0,0
7354,0,0,0,0,0
5587,0,1,1,1,1
6034,0,1,1,1,1
2086,0,0,0,0,0
4099,0,0,0,0,0
6744,0,0,0,0,0
2486,1,1,1,1,1
5314,1,1,1,1,1
1934,1,1,1,0,1
802,0,0,0,0,0
938,1,1,1,1,1
1959,0,0,1,0,0
1670,0,0,0,0,0
4928,0,1,0,1,0
7417,0,0,0,0,0
1044,0,0,0,0,0
2200,0,0,0,0,0
5188,1,1,1,1,1
779,0,0,0,0,0
4539,0,0,0,0,0
366,1,0,1,1,1
1773,0,0,1,0,0
5419,0,1,1,1,1
7197,0,0,0,0,0
4172,0,1,1,0,0
933,0,0,0,0,0
1885,0,0,0,0,0
3806,0,0,0,0,0
4894,0,0,0,0,0
3070,1,1,1,1,1
5543,1,1,1,1,1
4754,0,0,0,0,0
7271,0,0,0,0,0
136,0,0,0,0,0
3643,0,0,0,0,0
192,0,0,0,0,0
5736,1,1,1,1,1
5881,1,1,1,1,1
3967,0,0,0,0,0
2970,0,0,0,0,0
2264,0,0,1,1,0
2131,0,0,0,0,0
2383,0,0,0,0,0
277,0,0,0,0,0
5219,1,1,0,0,1
6065,0,0,0,0,0
2857,0,0,0,0,0
4913,0,0,0,0,0
5178,1,1,1,1,1
2736,0,0,0,0,0
1551,0,1,1,1,1
753,0,0,0,0,0
4635,0,0,0,0,0
3732,1,1,1,1,1
6510,0,0,0,0,0
1114,0,0,0,0,0
7281,0,0,0,0,0
3099,1,0,1,1,1
6327,0,0,1,0,0
5514,1,1,1,1,1
2307,0,0,0,0,0
6785,0,0,0,0,0
1609,0,0,1,0,0
1888,0,0,0,0,0
220,0,0,0,0,0
304,0,0,0,0,0
6031,0,0,0,0,0
1275,0,1,1,1,1
6198,0,0,0,0,0
5210,1,1,1,1,1
7548,0,1,0,0,0
4395,0,0,0,0,0
470,0,0,0,0,0
4829,0,0,0,0,0
20,0,0,0,0,0
2398,0,0,0,0,0
3597,0,1,1,0,0
3431,0,0,0,0,0
3459,0,0,0,0,0
