tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,jumlah_promosi,day_after,day,month,year
1979,2,1,117236002,0,1,55,50575,260967,50575,20230,2,2,5,0,2,856,5,5,2014
1950,2,1,84063000,0,1,70,6069,44506,80920,20230,9,6,4,0,0,442,17,3,2013
1966,2,2,127532564,0,0,45,117611,265460,96341,145573,1,1,7,0,1,561,14,7,2013
1961,3,1,165579620,0,0,90,206346,1613901,27725,125868,0,7,8,0,4,568,19,7,2013
1970,2,1,117703159,1,1,78,90563,311757,40358,33875,7,6,5,0,4,561,15,7,2013
1952,3,0,94346105,0,0,9,33509,49228,0,20797,1,4,2,0,5,561,16,7,2013
1963,3,0,75313000,2,1,96,0,14161,8092,2023,1,4,5,0,0,489,3,5,2013
1959,2,1,137916316,0,0,21,38505,1146659,192956,240718,4,7,6,0,5,568,20,7,2013
1957,2,0,138069883,0,0,26,56486,990179,193754,202737,3,9,5,0,5,568,18,7,2013
1975,2,2,37567504,1,0,67,19061,28067,22223,14146,3,2,1,0,2,568,20,7,2013
1953,2,0,34471060,0,0,59,14835,20379,18507,6893,3,1,5,0,2,560,14,7,2013
1968,1,2,142698390,0,1,57,330825,218283,79147,324377,1,8,12,0,1,568,21,7,2013
1957,2,0,152418000,0,0,5,149702,337841,93058,72828,3,10,2,0,4,691,21,11,2013
1979,0,2,14967000,0,0,65,34391,30345,32368,0,0,5,2,0,0,319,14,11,2012
1983,2,2,87587900,1,0,61,8121,420520,44254,23153,4,8,6,0,2,560,14,7,2013
1961,3,1,107962505,0,1,45,9783,121506,14412,21201,3,2,5,0,3,561,14,7,2013
1977,4,2,78371000,1,0,25,4046,22253,10115,6069,2,3,0,0,1,560,14,7,2013
1973,2,1,119766595,0,1,16,20230,181594,10650,51288,0,7,8,0,3,558,9,7,2013
1969,2,2,51837000,1,0,0,6069,10115,10115,10115,0,0,2,0,0,540,23,6,2013
1980,1,0,100650216,0,0,50,10115,3225667,16104,14022,0,0,2,0,3,557,9,7,2013
1959,2,1,105980937,0,1,69,2023,18743,0,6701,0,0,1,0,3,562,17,7,2013
1965,2,2,138197975,0,1,84,40357,214915,40670,43342,4,6,8,0,4,563,15,7,2013
1960,2,2,120775062,0,1,56,11553,27215,26688,58144,1,1,0,0,2,562,16,7,2013
1982,1,1,39412336,1,0,54,8742,26206,4231,836,3,2,2,0,6,567,17,7,2013
1952,2,2,156350122,0,0,52,328922,327271,316441,119442,0,8,4,0,1,565,16,7,2013
1971,2,2,43178000,1,0,26,0,42483,16184,0,2,1,3,0,1,280,6,10,2012
1952,2,1,164315916,0,0,59,239427,1512830,63227,90479,0,1,8,0,4,561,14,7,2013
1972,2,1,147865210,0,0,57,61055,287661,7662,28185,1,3,4,0,4,560,15,7,2013
1957,2,1,82594000,0,1,17,12138,42483,30345,8092,2,5,6,0,0,408,11,2,2013
1958,4,1,71993939,1,1,51,8384,23837,7230,6215,4,0,4,0,1,560,15,7,2013
1944,3,3,135614309,0,1,84,86568,442036,9714,32368,2,12,3,0,3,563,15,7,2013
1986,2,0,80543000,1,0,29,3969,23130,0,0,0,0,2,0,4,818,28,3,2014
1962,2,1,123183000,0,1,73,103173,285243,74851,99127,2,1,13,0,2,280,6,10,2012
1961,2,2,250037882,0,0,60,167993,2309651,118592,165088,6,3,5,0,1,565,18,7,2013
1977,1,3,82487648,1,1,87,8966,51693,13012,9759,1,0,3,0,0,565,15,7,2013
1973,2,0,99401995,0,1,21,8336,50678,7688,0,0,4,2,0,3,561,14,7,2013
1967,1,2,126562374,0,0,62,31146,298531,84134,102742,3,6,6,0,1,568,18,7,2013
1953,1,1,123505578,0,1,41,17207,345883,126329,70725,3,8,7,0,0,563,16,7,2013
1984,1,2,25228510,0,0,35,6882,23608,22940,23608,2,1,1,0,0,560,12,7,2013
1983,3,2,90795396,1,1,3,992,23359,24810,15878,4,1,1,0,0,561,17,7,2013
1976,1,0,83611000,1,1,29,10115,26299,36414,16184,4,4,1,0,0,315,10,11,2012
1962,2,2,78253666,1,1,61,1584,13539,4484,3960,1,2,2,0,3,565,18,7,2013
1964,2,0,78159398,1,0,36,21026,249900,3576,30018,6,2,5,0,6,561,16,7,2013
1954,3,1,105339251,0,1,58,4046,154472,15851,442,7,9,4,0,4,562,15,7,2013
1979,2,1,83776073,1,0,64,27027,187363,7444,35038,5,7,5,0,5,561,14,7,2013
1964,4,0,82406882,0,1,55,11245,2946,9996,446,3,3,3,0,0,560,17,7,2013
1976,2,0,52426890,1,0,12,25470,75313,26970,5352,0,5,4,0,6,561,16,7,2013
1977,2,1,332884000,0,0,19,23581,3489675,0,6069,0,0,3,0,2,488,2,5,2013
1968,4,1,83987000,2,1,41,2023,14161,0,0,6,6,5,0,0,384,18,1,2013
1968,3,1,166147411,0,0,78,71757,632369,136287,42107,2,6,7,0,5,561,15,7,2013
1970,3,0,122375006,0,1,30,15005,159437,25870,18053,4,9,7,0,2,567,16,7,2013
1975,0,0,51622455,1,0,28,12079,25316,39202,19935,1,1,4,0,3,560,16,7,2013
1956,3,1,190785436,0,0,59,77286,1082787,112601,19302,0,9,6,0,5,560,14,7,2013
1975,4,2,163786706,0,0,65,180047,1488928,145656,105196,1,1,7,0,0,562,15,7,2013
1963,4,0,64574106,1,1,11,4116,318,3939,6175,2,2,3,0,0,561,16,7,2013
1954,3,2,138435000,1,1,65,14161,76874,0,0,4,9,3,0,3,741,10,1,2014
1969,2,0,79096299,1,0,114,5459,15275,16413,0,1,5,3,0,0,559,14,7,2013
1966,2,0,132187000,0,0,61,106544,677705,125426,196231,0,3,7,0,0,804,14,3,2014
1952,2,1,101011758,0,0,73,8800,186971,126869,47087,1,6,7,0,4,561,16,7,2013
1959,2,1,94350762,0,0,12,20049,47209,0,10815,2,4,4,0,5,560,15,7,2013
1962,3,1,132185834,0,0,4,235876,1105695,24860,21599,3,6,6,0,6,568,18,7,2013
1956,2,1,109732202,0,1,50,17277,137455,11263,0,4,8,7,0,5,565,17,7,2013
1978,2,2,35763513,1,0,73,21335,13915,31205,19494,2,2,1,0,2,568,20,7,2013
1991,2,1,127644000,1,0,76,125426,580601,271082,78897,2,2,12,0,0,780,18,2,2014
1975,1,0,92900343,0,1,85,191186,375332,366743,290826,7,8,4,0,3,566,20,7,2013
1981,1,0,49661713,1,0,78,43582,20123,7855,19520,1,1,1,0,6,558,11,7,2013
1958,3,1,78870292,0,1,51,2433,11289,410,2051,0,2,0,0,3,561,14,7,2013
1971,2,1,71268246,1,0,15,45941,80393,11647,6874,4,5,3,0,6,561,15,7,2013
1946,4,4,111699000,0,0,55,82943,370209,95081,40460,2,10,12,0,2,553,6,7,2013
1953,2,1,99736302,0,1,80,10955,125485,21910,18331,0,4,6,0,0,567,17,7,2013
1954,2,1,53300000,0,1,81,22253,48552,57637,34391,3,1,1,0,0,789,27,2,2014
1971,3,2,167128873,0,0,37,100058,1111146,88576,110807,1,3,9,0,6,561,15,7,2013
1983,4,2,166606724,0,0,73,42264,304765,60438,52275,1,6,5,0,6,559,12,7,2013
1978,2,1,118914700,0,1,55,34925,179122,101958,67621,2,9,6,0,3,560,14,7,2013
1968,4,2,76484000,1,1,61,0,6069,4046,0,2,0,4,0,0,756,25,1,2014
1983,2,1,110120983,1,1,47,9320,85109,0,0,4,0,6,0,0,558,11,7,2013
1977,2,0,325514244,0,0,18,4206,3350256,11245,7924,0,0,1,0,2,554,9,7,2013
1956,4,2,69285000,2,1,62,0,76874,12138,0,4,4,4,0,2,552,5,7,2013
1963,3,1,75668000,0,0,59,28322,106009,76874,38437,2,3,2,0,1,494,8,5,2013
1956,4,2,158433000,1,2,25,12138,370209,16184,46529,12,9,5,0,0,455,30,3,2013
1961,2,0,152276450,0,0,20,118419,390780,114113,75835,2,9,4,0,4,561,16,7,2013
1973,3,1,165458484,0,0,60,282725,1520515,148755,125538,0,5,8,0,4,566,16,7,2013
1968,2,3,172329809,0,0,20,196777,774778,231114,287046,1,6,4,0,6,561,17,7,2013
1979,2,2,138817313,0,0,6,44506,931955,256516,60244,0,6,8,0,5,561,11,7,2013
1962,1,1,110928081,0,1,77,10634,46775,2815,1585,4,5,5,0,5,565,18,7,2013
1974,3,2,151599910,0,0,22,28441,514556,44208,25168,1,3,8,0,1,567,16,7,2013
1971,2,1,111202436,0,1,50,83817,382409,81305,235977,3,5,4,0,0,561,14,7,2013
1975,3,1,164601983,0,0,29,66647,770966,102878,121044,0,5,7,0,5,561,15,7,2013
1947,1,3,151115234,0,0,55,144766,1192829,258158,197764,2,7,10,0,1,568,17,7,2013
1980,3,2,105661000,0,0,77,32368,311542,139587,72828,0,6,5,0,0,893,11,6,2014
1958,2,2,118634453,0,1,11,13677,112716,14951,747,1,9,3,0,0,567,18,7,2013
1983,2,0,84414440,0,0,32,85187,322101,104424,72718,1,6,7,0,6,560,15,7,2013
1954,3,1,100020844,0,0,75,24486,236354,17838,579,4,9,2,0,0,561,15,7,2013
1964,3,1,95020110,0,1,76,14152,149547,16167,14152,5,5,4,0,0,568,21,7,2013
1958,2,3,170112112,0,0,69,108681,1798060,133865,202370,0,4,4,0,3,561,16,7,2013
