tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,day_after,jumlah_promosi,day,month,year
1979,2.0,1.0,105673726.22727273,0.0,1.0,48.0,50575.0,260967.0,50575.0,20230.0,2.0,2.0,5.0,0.0,856.0,2,5,5,2014
1950,2.0,1.0,84063000.0,0.0,0.0,70.0,6069.0,44506.0,80920.0,20230.0,9.0,6.0,4.0,0.0,442.0,0,17,3,2013
1966,2.0,2.0,127532564.0,0.0,0.0,45.0,117611.0,265460.0,96341.0,145573.0,1.0,1.0,7.0,0.0,558.0,1,11,7,2013
1961,3.0,1.0,165579620.0,0.0,0.0,90.0,206346.0,1613901.0,27725.0,125868.0,0.0,7.0,8.0,0.0,576.0,4,29,7,2013
1970,2.0,1.0,117703159.0,1.0,1.0,78.0,90563.0,311757.0,40358.0,33875.0,7.0,6.0,5.0,0.0,576.0,4,29,7,2013
1952,3.0,0.0,94346105.0,0.0,0.0,9.0,33509.0,49228.0,0.0,74839.50193798449,1.0,4.0,2.0,0.0,523.0,5,6,6,2013
1963,3.0,0.0,75313000.0,2.0,0.0,96.0,0.0,14161.0,8092.0,2023.0,1.0,4.0,5.0,0.0,489.0,0,3,5,2013
1959,2.0,1.0,137916316.0,0.0,0.0,21.0,38505.0,1146659.0,192956.0,240718.0,4.0,5.0,6.0,0.0,523.0,5,6,6,2013
1957,2.0,0.0,138069883.0,0.0,0.0,26.0,56486.0,565744.6,193754.0,202737.0,3.0,9.0,5.0,0.0,523.0,5,6,6,2013
1975,2.0,2.0,37567504.0,1.0,0.0,67.0,19061.0,28067.0,22223.0,14146.0,3.0,2.0,1.0,0.0,590.0,2,12,8,2013
1953,2.0,0.0,34471060.0,0.0,0.0,59.0,14835.0,20379.0,18507.0,6893.0,3.0,1.0,5.0,0.0,590.0,2,12,8,2013
1968,1.0,2.0,142698390.0,0.0,1.0,57.0,330825.0,218283.0,79147.0,324377.0,1.0,8.0,12.0,0.0,558.0,1,11,7,2013
1957,2.0,0.0,152418000.0,0.0,0.0,5.0,149702.0,337841.0,93058.0,72828.0,3.0,10.0,2.0,0.0,691.0,4,21,11,2013
1979,0.0,2.0,14967000.0,0.0,0.0,65.0,34391.0,30345.0,32368.0,0.0,0.0,5.0,2.0,0.0,319.0,0,14,11,2012
1983,2.0,2.0,87587900.0,1.0,0.0,61.0,8121.0,420520.0,44254.0,23153.0,4.0,8.0,6.0,0.0,590.0,2,12,8,2013
1961,3.0,1.0,107962505.0,0.0,1.0,45.0,9783.0,121506.0,14412.0,21201.0,3.0,2.0,5.0,0.0,567.0,3,20,7,2013
1977,4.0,2.0,78371000.0,1.0,0.0,25.0,4046.0,22253.0,10115.0,6069.0,2.0,3.0,0.0,0.0,558.0,1,11,7,2013
1973,2.0,1.0,119766595.0,0.0,1.0,16.0,20230.0,181594.0,10650.0,51288.0,0.0,7.0,8.0,0.0,567.0,3,20,7,2013
1969,2.0,2.0,51837000.0,1.0,0.0,0.0,6069.0,10115.0,10115.0,10115.0,0.0,0.0,2.0,0.0,540.0,0,23,6,2013
1980,1.0,0.0,100650216.0,0.0,0.0,50.0,10115.0,3225667.0,16104.0,14022.0,0.0,0.0,2.0,0.0,567.0,3,20,7,2013
1959,2.0,1.0,105980937.0,0.0,1.0,69.0,2023.0,18743.0,0.0,6701.0,0.0,0.0,1.0,0.0,567.0,3,20,7,2013
1965,2.0,2.0,138197975.0,0.0,0.0,84.0,40357.0,214915.0,40670.0,43342.0,4.0,6.0,8.0,0.0,576.0,4,29,7,2013
1960,2.0,2.0,120775062.0,0.0,1.0,56.0,11553.0,27215.0,26688.0,58144.0,1.0,1.0,0.0,0.0,590.0,2,12,8,2013
1982,1.0,1.0,121034392.26684636,1.0,0.0,54.0,8742.0,26206.0,4231.0,836.0,3.0,2.0,2.0,0.0,433.0,6,8,3,2013
1952,2.0,2.0,156350122.0,0.0,0.0,50.0,328922.0,327271.0,316441.0,119442.0,0.0,8.0,4.0,0.0,558.0,1,11,7,2013
1971,2.0,2.0,43178000.0,1.0,0.0,26.0,0.0,42483.0,16184.0,0.0,2.0,1.0,3.0,0.0,280.0,1,6,10,2012
1952,2.0,1.0,164315916.0,0.0,0.0,59.0,239427.0,1512830.0,63227.0,90479.0,0.0,1.0,8.0,0.0,576.0,4,29,7,2013
1972,2.0,1.0,147865210.0,0.0,0.0,57.0,61055.0,287661.0,85015.71224489796,28185.0,1.0,3.0,4.0,0.0,576.0,4,29,7,2013
1957,2.0,1.0,82594000.0,0.0,1.0,17.0,12138.0,42483.0,30345.0,8092.0,2.0,5.0,6.0,0.0,408.0,0,11,2,2013
1958,4.0,1.0,71993939.0,1.0,1.0,51.0,8384.0,23837.0,7230.0,6215.0,4.0,0.0,4.0,0.0,558.0,1,11,7,2013
1944,3.0,3.0,135614309.0,0.0,1.0,84.0,86568.0,442036.0,9714.0,32368.0,2.0,12.0,3.0,0.0,567.0,3,20,7,2013
1986,2.0,0.0,80543000.0,1.0,0.0,29.0,81106.40695296523,517937.8377823409,0.0,0.0,0.0,0.0,2.0,0.0,818.0,4,28,3,2014
1962,2.0,1.0,123183000.0,0.0,1.0,73.0,103173.0,285243.0,74851.0,99127.0,2.0,1.0,13.0,0.0,280.0,2,6,10,2012
1961,2.0,2.0,250037882.0,0.0,0.0,60.0,167993.0,2309651.0,118592.0,165088.0,6.0,3.0,5.0,0.0,558.0,1,11,7,2013
1977,1.0,3.0,82487648.0,1.0,1.0,87.0,8966.0,51693.0,13012.0,9759.0,1.0,0.0,3.0,0.0,572.0,0,25,7,2013
1973,2.0,0.0,99401995.0,0.0,1.0,21.0,8336.0,50678.0,73796.57649667405,0.0,0.0,4.0,2.0,0.0,567.0,3,20,7,2013
1967,1.0,2.0,126562374.0,0.0,0.0,62.0,31146.0,298531.0,84134.0,102742.0,3.0,4.0,6.0,0.0,558.0,1,11,7,2013
1953,1.0,1.0,123505578.0,0.0,1.0,41.0,17207.0,345883.0,126329.0,70725.0,3.0,8.0,7.0,0.0,572.0,0,25,7,2013
1984,1.0,2.0,25228510.0,0.0,0.0,35.0,6882.0,23608.0,22940.0,23608.0,2.0,1.0,1.0,0.0,572.0,0,25,7,2013
1983,3.0,2.0,90795396.0,1.0,1.0,3.0,992.0,23359.0,24810.0,15878.0,4.0,1.0,1.0,0.0,572.0,0,25,7,2013
1976,1.0,0.0,83611000.0,1.0,1.0,29.0,10115.0,26299.0,36414.0,16184.0,4.0,4.0,1.0,0.0,315.0,0,10,11,2012
1962,2.0,2.0,78253666.0,1.0,1.0,61.0,1584.0,13539.0,4484.0,3960.0,1.0,2.0,2.0,0.0,567.0,3,20,7,2013
1964,2.0,0.0,78159398.0,1.0,0.0,36.0,21026.0,249900.0,3576.0,30018.0,6.0,2.0,5.0,0.0,433.0,6,8,3,2013
1954,3.0,1.0,105339251.0,0.0,1.0,58.0,4046.0,154472.0,15851.0,442.0,7.0,9.0,4.0,0.0,576.0,4,29,7,2013
1979,2.0,1.0,83776073.0,1.0,0.0,64.0,27027.0,187363.0,7444.0,35038.0,5.0,7.0,5.0,0.0,523.0,5,6,6,2013
1964,4.0,0.0,82406882.0,0.0,1.0,55.0,11245.0,2946.0,9996.0,446.0,3.0,3.0,3.0,0.0,572.0,0,25,7,2013
1976,2.0,0.0,52426890.0,1.0,0.0,12.0,25470.0,75313.0,104260.12396694215,5352.0,0.0,5.0,4.0,0.0,433.0,6,8,3,2013
1977,2.0,1.0,332884000.0,0.0,0.0,19.0,51634.53116531165,3489675.0,0.0,6069.0,0.0,0.0,5.0,0.0,488.0,2,2,5,2013
1968,4.0,1.0,83987000.0,2.0,1.0,41.0,2023.0,14161.0,0.0,0.0,6.0,6.0,5.0,0.0,384.0,0,18,1,2013
1968,3.0,1.0,166147411.0,0.0,0.0,78.0,71757.0,632369.0,136287.0,42107.0,2.0,6.0,7.0,0.0,523.0,5,6,6,2013
1970,3.0,0.0,122375006.0,0.0,1.0,30.0,15005.0,159437.0,25870.0,59104.15902964959,4.0,9.0,7.0,0.0,590.0,2,12,8,2013
1975,0.0,0.0,51622455.0,1.0,0.0,28.0,12079.0,25316.0,39202.0,19935.0,1.0,1.0,4.0,0.0,567.0,3,20,7,2013
1956,3.0,1.0,190785436.0,0.0,0.0,59.0,77286.0,1082787.0,112601.0,19302.0,0.0,9.0,6.0,0.0,523.0,5,6,6,2013
1975,4.0,2.0,98109745.28679654,0.0,0.0,65.0,180047.0,1488928.0,145656.0,105196.0,1.0,1.0,7.0,0.0,572.0,0,25,7,2013
1963,4.0,0.0,64574106.0,1.0,1.0,11.0,4116.0,318.0,3939.0,6175.0,2.0,2.0,3.0,0.0,572.0,0,25,7,2013
1954,3.0,2.0,138435000.0,1.0,1.0,65.0,14161.0,76874.0,0.0,0.0,4.0,9.0,3.0,0.0,741.0,3,10,1,2014
1969,2.0,0.0,79096299.0,1.0,0.0,114.0,5459.0,15275.0,16413.0,0.0,1.0,5.0,3.0,0.0,572.0,0,25,7,2013
1966,2.0,0.0,132187000.0,0.0,0.0,61.0,47198.83404710921,677705.0,125426.0,196231.0,0.0,3.0,7.0,0.0,804.0,0,14,3,2014
1952,2.0,1.0,101011758.0,0.0,0.0,73.0,8800.0,186971.0,126869.0,47087.0,1.0,6.0,7.0,0.0,576.0,4,29,7,2013
1959,2.0,1.0,94350762.0,0.0,0.0,12.0,20049.0,47209.0,0.0,10815.0,2.0,4.0,4.0,0.0,523.0,5,6,6,2013
1962,3.0,1.0,132185834.0,0.0,0.0,4.0,235876.0,1105695.0,24860.0,21599.0,3.0,6.0,6.0,0.0,433.0,6,8,3,2013
1956,2.0,1.0,109732202.0,0.0,1.0,50.0,17277.0,137455.0,11263.0,0.0,4.0,8.0,7.0,0.0,523.0,5,6,6,2013
1978,2.0,2.0,35763513.0,1.0,0.0,73.0,21335.0,13915.0,31205.0,19494.0,2.0,2.0,1.0,0.0,590.0,2,12,8,2013
1991,2.0,2.0,127644000.0,1.0,0.0,76.0,125426.0,580601.0,271082.0,78897.0,2.0,2.0,12.0,0.0,780.0,0,18,2,2014
1975,1.0,0.0,92900343.0,0.0,1.0,85.0,191186.0,375332.0,366743.0,290826.0,7.0,8.0,4.0,0.0,567.0,3,20,7,2013
1981,1.0,1.0,49661713.0,1.0,0.0,78.0,43582.0,20123.0,7855.0,19520.0,1.0,1.0,1.0,0.0,433.0,6,8,3,2013
1958,3.0,1.0,78870292.0,0.0,1.0,51.0,2433.0,11289.0,410.0,2051.0,0.0,2.0,0.0,0.0,567.0,3,20,7,2013
1971,2.0,1.0,71268246.0,1.0,0.0,15.0,45941.0,80393.0,11647.0,6874.0,4.0,5.0,3.0,0.0,433.0,6,8,3,2013
1946,4.0,4.0,111699000.0,0.0,0.0,55.0,82943.0,370209.0,95081.0,40460.0,2.0,10.0,12.0,0.0,553.0,2,6,7,2013
1953,2.0,1.0,99736302.0,0.0,1.0,80.0,10955.0,125485.0,21910.0,18331.0,0.0,4.0,6.0,0.0,572.0,0,25,7,2013
