tahun_kelahiran,belanja_daging,belanja_ikan,belanja_kue,belanja_buah,terakhir_belanja,pendapatan,pembelian_web,pembelian_toko,day_after,jumlah_promosi
1979.0,260967.0,50575.0,20230.0,50575.0,49,112646888.46,2,5,856,2
1950.0,44506.0,80920.0,20230.0,6069.0,70,84063000.0,6,4,442,0
1966.0,265460.0,96341.0,145573.0,117611.0,45,127532564.0,1,7,545,1
1961.0,1613901.0,27725.0,125868.0,206346.0,90,165579620.0,7,8,591,4
1970.0,311757.0,40358.0,33875.0,90563.0,78,117703159.0,6,5,511,4
1952.0,49228.0,0.0,25208.65279296875,33509.0,9,94346105.0,4,2,595,5
1963.0,14161.0,8092.0,2023.0,0.0,96,75313000.0,4,5,489,0
1959.0,1146659.0,192956.0,240718.0,38505.0,21,137916316.0,4,6,595,5
1957.0,970891.26,193754.0,202737.0,56486.0,26,138069883.0,9,5,508,5
1975.0,28067.0,22223.0,14146.0,19061.0,67,37567504.0,2,1,560,2
1953.0,20379.0,18507.0,6893.0,14835.0,59,34471060.0,1,5,582,2
1968.0,218283.0,79147.0,324377.0,330825.0,57,142698390.0,8,12,553,1
1957.0,337841.0,93058.0,72828.0,149702.0,5,152418000.0,10,2,691,4
1979.0,30345.0,32368.0,0.0,34391.0,65,14967000.0,5,2,319,0
1983.0,420520.0,44254.0,23153.0,8121.0,61,87587900.0,8,6,499,2
1961.0,121506.0,14412.0,21201.0,9783.0,45,107962505.0,2,5,585,3
1977.0,22253.0,10115.0,6069.0,4046.0,25,78371000.0,3,0,642,1
1973.0,181594.0,10650.0,51288.0,20230.0,16,119766595.0,7,8,563,3
1969.0,10115.0,10115.0,10115.0,6069.0,0,51837000.0,0,2,540,0
1980.0,3225667.0,16104.0,14022.0,10115.0,50,100650216.0,0,2,567,3
1959.0,18743.0,0.0,6701.0,2023.0,69,105980937.0,0,1,670,3
1965.0,214915.0,40670.0,43342.0,40357.0,84,138197975.0,6,8,613,4
1960.0,27215.0,26688.0,58144.0,11553.0,56,120775062.0,1,0,608,2
