tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,day_after,day,month,year,dow,jumlah_promosi
1979,2,1,119011970.356,0,1,58,50575.0,260967.0,50575.0,20230.0,2,2,5,0,856,5,5,2014,0,2
1950,2,1,84063000.0,0,1,70,6069.0,44506.0,80920.0,20230.0,9,6,4,0,442,17,3,2013,6,0
1966,2,2,127532564.0,0,0,45,117611.0,265460.0,96341.0,145573.0,1,1,7,0,535,15,6,2013,3,1
1961,3,1,165579620.0,0,0,90,206346.0,1613901.0,27725.0,125868.0,0,7,8,0,535,18,6,2013,4,4
1970,2,1,117703159.0,1,1,78,90563.0,311757.0,40358.0,33875.0,7,6,5,0,533,17,6,2013,3,4
1952,3,0,94346105.0,0,0,9,33509.0,49228.0,0.0,22222.804,1,4,2,0,534,16,6,2013,3,5
1963,3,0,75313000.0,2,1,96,0.0,14161.0,8092.0,2023.0,1,4,5,0,489,3,5,2013,4,0
1959,2,1,137916316.0,0,0,21,38505.0,1146659.0,192956.0,240718.0,4,7,6,0,537,19,6,2013,3,5
1957,2,0,138069883.0,0,0,26,56486.0,894366.344,193754.0,202737.0,3,9,5,0,536,18,6,2013,3,5
1975,2,2,37567504.0,1,0,67,19061.0,28067.0,22223.0,14146.0,3,2,1,0,535,21,6,2013,3,2
1953,2,0,34471060.0,0,0,59,14835.0,20379.0,18507.0,6893.0,3,1,5,0,533,16,6,2013,3,2
1968,1,2,142698390.0,0,1,57,330825.0,218283.0,79147.0,324377.0,1,8,12,0,536,19,6,2013,3,1
1957,2,0,152418000.0,0,0,5,149702.0,337841.0,93058.0,72828.0,3,10,2,0,691,21,11,2013,3,4
1979,0,2,14967000.0,1,0,65,34391.0,30345.0,32368.0,0.0,0,5,2,0,319,14,11,2012,2,0
1983,2,2,87587900.0,1,0,61,8121.0,420520.0,44254.0,23153.0,4,8,6,0,533,15,6,2013,3,2
1961,3,1,107962505.0,0,1,45,9783.0,121506.0,14412.0,21201.0,3,2,5,0,535,16,6,2013,3,3
1977,4,2,78371000.0,1,0,25,4046.0,22253.0,10115.0,6069.0,2,3,0,0,535,16,6,2013,2,1
1973,2,1,119766595.0,0,1,16,20230.0,181594.0,10650.0,51288.0,0,7,8,0,534,12,6,2013,2,3
1969,2,2,51837000.0,1,0,0,6069.0,10115.0,10115.0,10115.0,0,0,2,0,540,23,6,2013,6,0
1980,1,0,100650216.0,0,0,50,10115.0,3225667.0,16104.0,14022.0,0,0,2,0,534,12,6,2013,3,3
1959,2,1,105980937.0,0,1,69,2023.0,18743.0,0.0,6701.0,0,0,1,0,535,18,6,2013,4,3
1965,2,2,138197975.0,0,1,84,40357.0,214915.0,40670.0,43342.0,4,6,8,0,535,18,6,2013,3,4
1960,2,2,120775062.0,0,1,56,11553.0,27215.0,26688.0,58144.0,1,1,0,0,534,18,6,2013,3,2
1982,1,1,48466611.444,1,0,54,8742.0,26206.0,4231.0,836.0,3,2,2,0,534,16,6,2013,3,6
1952,2,2,156350122.0,0,0,38,328922.0,327271.0,316441.0,119442.0,0,8,4,0,536,17,6,2013,4,1
1971,2,2,43178000.0,1,0,26,0.0,42483.0,16184.0,0.0,2,1,3,0,280,6,10,2012,5,1
1952,2,1,164315916.0,0,0,59,239427.0,1512830.0,63227.0,90479.0,0,1,8,0,533,14,6,2013,4,4
1972,2,1,147865210.0,0,0,57,61055.0,287661.0,8131.06,28185.0,1,3,4,0,534,17,6,2013,3,4
1957,2,1,82594000.0,0,1,17,12138.0,42483.0,30345.0,8092.0,2,5,6,0,408,11,2,2013,0,0
1958,4,1,71993939.0,1,1,51,8384.0,23837.0,7230.0,6215.0,4,0,4,0,534,15,6,2013,3,1
1944,3,3,135614309.0,0,1,84,86568.0,442036.0,9714.0,32368.0,2,12,3,0,533,17,6,2013,4,3
1986,2,0,80543000.0,1,0,29,2722.548,22883.564,0.0,0.0,0,0,2,0,818,28,3,2014,4,4
1962,2,1,123183000.0,0,1,73,103173.0,285243.0,74851.0,99127.0,3,1,13,0,280,6,10,2012,5,2
1961,2,2,250037882.0,0,0,60,167993.0,2309651.0,118592.0,165088.0,6,3,5,0,534,16,6,2013,3,1
1977,1,3,82487648.0,1,1,87,8966.0,51693.0,13012.0,9759.0,1,0,3,0,535,18,6,2013,3,0
1973,2,0,99401995.0,0,1,21,8336.0,50678.0,9407.596,0.0,0,4,2,0,536,17,6,2013,3,3
1967,1,1,126562374.0,0,0,62,31146.0,298531.0,84134.0,102742.0,3,6,6,0,535,17,6,2013,3,1
1953,1,1,123505578.0,0,1,41,17207.0,345883.0,126329.0,70725.0,3,8,7,0,534,16,6,2013,3,0
1984,1,2,25228510.0,0,0,35,6882.0,23608.0,22940.0,23608.0,2,1,1,0,534,15,6,2013,3,0
1983,3,2,90795396.0,1,1,3,992.0,23359.0,24810.0,15878.0,4,1,1,0,535,16,6,2013,3,0
1976,1,0,83611000.0,1,1,29,10115.0,26299.0,36414.0,16184.0,4,4,1,0,315,10,11,2012,5,0
1962,2,2,78253666.0,1,1,61,1584.0,13539.0,4484.0,3960.0,1,2,2,0,536,20,6,2013,2,3
1964,2,0,78159398.0,1,0,36,21026.0,249900.0,3576.0,30018.0,6,2,5,0,535,16,6,2013,4,6
1954,3,1,105339251.0,0,1,58,4046.0,154472.0,15851.0,442.0,7,9,4,0,533,17,6,2013,4,4
1979,2,1,83776073.0,1,0,64,27027.0,187363.0,7444.0,35038.0,5,7,5,0,533,15,6,2013,3,5
1964,4,0,82406882.0,0,1,55,11245.0,2946.0,9996.0,446.0,3,3,3,0,534,16,6,2013,3,0
1976,2,0,52426890.0,1,0,12,25470.0,75313.0,26529.216,5352.0,0,4,4,0,534,16,6,2013,4,6
1977,2,1,332884000.0,0,0,19,36154.216,3489675.0,0.0,6069.0,0,0,2,0,488,2,5,2013,3,2
1968,4,1,83987000.0,2,1,41,2023.0,14161.0,0.0,0.0,6,6,5,0,384,18,1,2013,4,0
1968,3,1,166147411.0,0,0,78,71757.0,632369.0,136287.0,42107.0,2,6,7,0,534,15,6,2013,3,5
1970,3,0,122375006.0,0,1,30,15005.0,159437.0,25870.0,18854.708,4,9,7,0,536,17,6,2013,2,2
1975,0,0,51622455.0,1,0,28,12079.0,25316.0,39202.0,19935.0,1,1,4,0,534,15,6,2013,3,3
1956,3,1,190785436.0,0,0,59,77286.0,1082787.0,112601.0,19302.0,0,9,6,0,533,14,6,2013,4,5
1975,4,2,166443025.964,0,0,65,180047.0,1488928.0,145656.0,105196.0,1,1,7,0,534,13,6,2013,3,0
1963,4,0,64574106.0,1,1,11,4116.0,318.0,3939.0,6175.0,2,2,3,0,535,17,6,2013,4,0
1954,3,2,138435000.0,1,1,65,14161.0,76874.0,0.0,0.0,4,9,3,0,741,10,1,2014,4,3
1969,2,0,79096299.0,1,0,114,5459.0,15275.0,16413.0,0.0,1,5,3,0,533,15,6,2013,3,0
1966,2,0,132187000.0,0,0,61,105051.556,677705.0,125426.0,196231.0,0,3,7,0,804,14,3,2014,4,0
1952,2,1,101011758.0,0,0,73,8800.0,186971.0,126869.0,47087.0,1,6,7,0,533,17,6,2013,3,4
1959,2,1,94350762.0,0,0,12,20049.0,47209.0,0.0,10815.0,2,4,4,0,534,15,6,2013,3,5
1962,3,1,132185834.0,0,0,4,235876.0,1105695.0,24860.0,21599.0,3,6,6,0,536,18,6,2013,3,6
1956,2,1,109732202.0,0,1,50,17277.0,137455.0,11263.0,0.0,4,8,7,0,535,17,6,2013,3,5
1978,2,2,35763513.0,1,0,73,21335.0,13915.0,31205.0,19494.0,2,2,1,0,536,21,6,2013,3,2
1991,2,1,127644000.0,1,0,76,125426.0,580601.0,271082.0,78897.0,2,2,12,0,780,18,2,2014,1,0
1975,1,0,92900343.0,0,1,85,191186.0,375332.0,366743.0,290826.0,7,8,4,0,533,16,6,2013,4,3
1981,1,0,49661713.0,1,0,78,43582.0,20123.0,7855.0,19520.0,1,1,1,0,533,14,6,2013,3,6
1958,3,1,78870292.0,0,1,51,2433.0,11289.0,410.0,2051.0,0,2,0,0,534,16,6,2013,4,3
1971,2,1,71268246.0,1,0,15,45941.0,80393.0,11647.0,6874.0,4,5,3,0,534,15,6,2013,4,6
1946,4,4,111699000.0,0,0,55,82943.0,370209.0,95081.0,40460.0,2,10,12,0,553,6,7,2013,5,2
1953,2,1,99736302.0,0,1,80,10955.0,125485.0,21910.0,18331.0,0,4,6,0,533,17,6,2013,4,0
1954,2,1,53300000.0,0,1,81,22253.0,48552.0,47471.296,34391.0,3,1,1,0,789,27,2,2014,3,0
1971,3,2,167128873.0,0,0,37,100058.0,1086021.556,88576.0,110807.0,1,3,9,0,536,17,6,2013,3,6
1983,4,2,166606724.0,0,0,73,42264.0,304765.0,60438.0,52275.0,1,6,5,0,533,13,6,2013,3,6
1978,2,1,118914700.0,0,1,55,34925.0,179122.0,101958.0,78154.176,2,9,6,0,534,13,6,2013,3,3
1968,4,2,76484000.0,1,1,61,0.0,6069.0,4046.0,0.0,2,0,4,0,756,25,1,2014,5,0
1983,2,1,110120983.0,1,1,47,9320.0,85109.0,0.0,0.0,4,0,6,0,534,14,6,2013,3,0
1977,2,0,325514244.0,0,0,18,4206.0,3350256.0,11245.0,7924.0,0,0,1,0,532,10,6,2013,3,2
1956,4,2,69285000.0,2,1,62,0.0,76874.0,12138.0,0.0,4,4,4,0,552,5,7,2013,4,2
1963,3,1,75668000.0,0,0,59,28322.0,118163.872,76874.0,38437.0,2,3,2,0,494,8,5,2013,2,1
1956,4,2,158433000.0,1,2,25,12138.0,370209.0,16184.0,46529.0,12,9,5,0,455,30,3,2013,5,0
1961,2,0,152276450.0,0,0,20,118419.0,390780.0,114113.0,75835.0,2,9,4,0,534,16,6,2013,4,4
1973,3,1,165458484.0,0,0,60,282725.0,1520515.0,148755.0,125538.0,0,5,8,0,534,17,6,2013,4,4
