tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,day_after,day,month,year,dow,jumlah_promosi
1983,3,2,90795396.0,1,1,3,992.0,23359.0,24810.0,15878.0,4,1,1,0,535,16,6,2013,3,0
1983,2,1,110120983.0,1,1,47,9320.0,85109.0,0.0,0.0,4,0,6,0,534,14,6,2013,3,0
1956,4,2,158433000.0,1,2,25,12138.0,370209.0,16184.0,46529.0,12,9,5,0,455,30,3,2013,5,0
1960,3,1,151001613.0,1,1,46,157641.0,548208.0,72815.0,45385.0,1,6,11,0,534,16,6,2013,2,0
1970,4,2,73974000.0,1,0,8,2023.0,42483.0,2023.0,0.0,3,0,5,0,860,9,5,2014,4,0
1975,1,2,90783000.0,1,0,15,6069.0,50575.0,4046.0,10115.0,0,4,3,0,807,17,3,2014,0,0
1981,2,1,71913000.0,1,0,83,6069.0,34391.0,6069.0,8092.0,1,4,5,0,656,17,10,2013,3,0
1971,3,1,120768180.0,0,1,51,16126.0,224195.0,36306.0,219728.0,8,2,8,0,534,13,6,2013,2,0
1984,3,0,66319917.0,1,0,18,12305.0,38938.0,0.0,10226.0,4,0,6,1,534,16,6,2013,3,0
1961,2,3,72778397.0,1,1,20,2675.0,10700.0,8092.0,10081.0,1,0,3,0,536,18,6,2013,3,0
1967,2,2,128273000.0,0,1,28,0.0,214438.0,48552.0,22253.0,1,9,9,0,578,31,7,2013,2,0
1964,2,3,62878000.0,1,0,70,8092.0,18207.0,10115.0,0.0,2,5,5,0,755,24,1,2014,4,0
1970,4,2,115850513.0,0,1,97,166236.0,673683.804,216574.0,155398.0,5,3,9,0,533,14,6,2013,3,0
1990,0,1,79873153.0,0,0,19,32089.0,315707.584,430142.0,149335.0,2,6,4,0,536,18,6,2013,3,0
1961,3,2,145734102.0,0,1,105,16120.0,157462.0,12305.0,29554.0,4,6,11,0,533,14,6,2013,3,0
1969,1,0,127918324.0,0,1,17,213261.0,159491.0,74589.0,12268.0,1,0,10,0,535,15,6,2013,3,0
1960,4,0,107782206.0,0,1,63,5702.0,10902.0,11350.0,14188.0,2,2,7,0,534,17,6,2013,3,0
1955,4,2,122639277.0,0,1,3,2872.0,59921.0,17237.0,13060.0,5,8,8,0,536,17,6,2013,3,0
1961,2,2,57528000.0,1,1,90,18207.0,28322.0,12138.0,10454.452,3,0,5,0,589,11,8,2013,6,0
1981,2,2,110037000.0,1,1,47,8092.0,72828.0,0.0,0.0,4,1,6,0,401,4,2,2013,0,0
