,tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
0,1979.0,2.0,1.0,107057433.0,0.0,1.0,27.8,50575.0,260967.0,50575.0,20230.0,2.0,2.0,5.0,0.0,519
1,1950.0,2.0,1.0,84063000.0,0.6,0.0,70.0,6069.0,44506.0,80920.0,20230.0,9.0,6.0,4.0,0.0,186
2,1966.0,2.0,2.0,127532564.0,0.0,0.0,45.0,117611.0,265460.0,96341.0,145573.0,1.0,1.0,7.0,0.0,325
3,1961.0,3.0,1.0,165579620.0,0.0,0.0,90.0,206346.0,1613901.0,27725.0,125868.0,0.0,7.0,8.0,0.0,351
4,1970.0,2.0,1.0,117703159.0,1.0,1.0,78.0,90563.0,311757.0,40358.0,33875.0,7.0,6.0,5.0,0.0,349
5,1952.0,3.0,0.0,94346105.0,0.0,0.0,9.0,33509.0,49228.0,0.0,19187.4,1.0,4.0,2.0,0.0,255
6,1963.0,3.0,0.0,75313000.0,2.0,0.2,96.0,0.0,14161.0,8092.0,2023.0,1.0,4.0,5.0,0.0,226
7,1959.0,2.0,1.0,137916316.0,0.0,0.0,21.0,38505.0,1146659.0,192956.0,240718.0,4.0,8.4,6.0,0.0,213
8,1957.0,2.0,0.0,138069883.0,0.0,0.0,26.0,56486.0,939128.2,193754.0,202737.0,3.0,9.0,5.0,0.0,356
9,1975.0,2.0,2.0,37567504.0,1.0,0.2,67.0,19061.0,28067.0,22223.0,14146.0,3.0,2.0,1.0,0.0,294
10,1953.0,2.0,0.0,34471060.0,0.0,0.0,59.0,14835.0,20379.0,18507.0,6893.0,3.0,1.0,5.0,0.0,414
11,1968.0,1.0,2.0,142698390.0,0.0,1.0,57.0,330825.0,218283.0,79147.0,324377.0,1.0,8.0,12.0,0.0,222
12,1957.0,2.0,0.0,152418000.0,0.0,0.0,5.0,149702.0,337841.0,93058.0,72828.0,3.0,10.0,2.0,0.0,385
13,1979.0,0.0,2.0,14967000.0,0.4,0.0,65.0,34391.0,30345.0,32368.0,0.0,0.0,5.0,2.0,0.0,85
14,1983.0,2.0,2.0,87587900.0,1.0,0.0,61.0,8121.0,420520.0,44254.0,23153.0,4.0,8.0,6.0,0.0,219
