ID,h2o,catboost,xgb,ag,final_prediction
2241,0,0,0,0,0
2274,0,1,0,1,0
1107,0,0,0,0,0
4478,1,1,1,1,1
5080,0,0,0,0,0
5725,0,0,0,0,0
456,0,0,0,0,0
1711,0,0,0,0,0
2940,0,0,0,0,0
3031,0,0,0,0,0
3551,0,0,0,0,0
5987,0,0,0,0,0
6925,0,0,0,0,0
5735,0,0,0,0,0
298,0,0,1,1,0
4020,0,1,1,1,1
3127,0,0,0,0,0
7432,0,0,0,0,0
7375,0,0,0,0,0
1996,0,0,0,0,0
5966,0,0,0,0,0
6697,0,0,0,0,0
3544,0,0,0,0,0
7122,0,0,0,0,0
1379,1,1,1,1,1
505,0,0,0,0,0
224,0,0,0,0,0
3024,0,0,0,0,0
2946,0,0,0,0,0
153,0,0,0,0,0
229,0,0,0,0,0
7411,0,0,1,1,0
2655,0,0,0,1,0
6972,0,0,0,0,0
320,0,0,0,0,0
5205,0,0,0,0,0
2454,0,1,0,0,0
3482,0,0,0,0,0
6708,0,0,0,0,0
3028,0,0,0,0,0
5747,0,0,0,0,0
787,0,0,0,0,0
6608,0,0,0,0,0
3188,0,0,1,0,0
5995,0,0,0,0,0
10,0,0,0,1,0
1556,1,0,0,0,0
2100,0,0,0,1,0
4496,1,1,1,1,1
6847,0,0,0,0,0
2681,0,0,0,0,0
570,0,0,0,0,0
4800,1,1,1,1,1
5642,0,0,0,0,0
6813,0,0,0,0,0
5820,0,0,0,0,0
3731,0,0,0,0,0
4586,0,1,1,1,1
6650,0,0,0,0,0
2024,0,0,1,1,0
3512,0,0,0,0,0
2532,0,0,0,0,0
3640,0,0,0,0,0
129,1,0,0,1,1
6712,0,0,0,0,0
6460,0,0,0,0,0
5050,0,0,0,0,0
4665,1,1,1,1,1
4532,1,1,1,1,1
2434,0,0,0,0,0
4832,1,1,1,0,1
5451,0,0,0,0,0
6220,0,0,0,0,0
1922,0,0,1,1,0
7414,0,0,0,0,0
4959,1,1,1,1,1
2165,0,0,0,0,0
7523,0,0,0,0,0
1448,0,1,1,1,1
2121,0,0,0,0,0
6991,0,0,0,0,0
6533,0,0,0,0,0
152,0,0,1,1,0
2474,0,0,0,0,0
6976,0,0,0,0,0
1208,1,1,1,1,1
6369,0,0,0,0,0
907,0,0,0,0,0
4663,1,1,1,1,1
2063,0,0,0,0,0
524,0,0,0,0,0
7455,0,0,0,1,0
5072,0,0,0,0,0
2293,0,0,0,0,0
7116,0,0,0,0,0
3319,0,0,0,0,0
5402,0,0,0,0,0
2703,0,0,0,0,0
3903,0,0,0,0,0
5498,0,0,0,0,0
3829,0,0,1,1,0
2327,0,0,0,0,0
5221,0,0,0,0,0
5517,0,0,0,0,0
3692,0,0,0,0,0
5198,1,1,1,1,1
2742,0,0,0,0,0
6303,0,0,0,0,0
1484,0,0,0,0,0
3124,0,0,0,0,0
2764,0,0,1,1,0
426,0,0,0,0,0
4334,1,1,1,1,1
1115,0,0,0,0,0
988,0,0,0,0,0
6412,0,0,0,0,0
681,0,1,0,0,0
4240,1,1,1,1,1
3757,0,0,1,0,0
3711,0,0,0,0,0
5911,0,0,0,0,0
6818,0,0,0,0,0
3933,0,0,0,0,0
5153,1,0,0,0,0
407,0,0,0,0,0
2665,0,0,0,0,0
6272,0,0,0,0,0
117,0,0,0,1,0
3536,0,0,0,0,0
5828,0,0,0,0,0
773,0,0,0,0,0
7026,0,0,0,0,0
4269,1,1,1,1,1
4874,1,1,1,1,1
6374,0,0,0,0,0
445,0,0,0,0,0
2019,0,0,0,0,0
3235,0,0,0,0,0
4380,1,1,1,1,1
4795,1,1,1,1,1
4221,1,1,1,1,1
5770,0,0,0,0,0
7457,0,0,0,0,0
4504,1,1,1,1,1
1818,0,0,1,0,0
227,0,0,0,0,0
3716,0,0,0,0,0
7568,0,0,0,0,0
4983,1,1,1,1,1
6101,0,0,1,0,0
601,0,0,0,0,0
6660,0,0,0,0,0
7578,0,0,0,0,0
5884,0,0,0,0,0
3296,0,0,0,0,0
6114,0,0,0,0,0
5306,0,1,1,1,1
93,0,0,0,0,0
6397,0,0,0,0,0
5393,0,0,0,1,0
5739,0,0,0,0,0
5782,0,0,0,0,0
4238,1,1,1,1,1
7349,0,0,0,0,0
7600,0,0,0,0,0
1841,0,0,0,0,0
2862,0,0,0,0,0
6413,0,0,0,0,0
337,0,0,0,0,0
84,0,0,0,0,0
5332,0,0,0,0,0
4147,0,0,0,0,0
5435,0,0,0,0,0
2462,0,0,0,0,0
6565,0,0,0,0,0
4895,1,1,1,1,1
1056,0,0,0,0,0
203,0,1,0,0,0
5183,1,0,0,1,1
376,1,1,1,1,1
2303,0,0,0,0,0
1659,0,0,0,0,0
6393,0,0,0,0,0
6433,0,1,1,1,1
3562,0,0,0,0,0
868,0,0,0,0,0
3374,0,0,0,0,0
2315,0,0,0,0,0
1822,0,0,0,0,0
2008,1,1,1,1,1
2290,1,1,1,1,1
6926,0,0,0,0,0
3914,0,0,0,0,0
4054,0,0,0,0,0
2072,0,0,0,0,0
1177,0,0,0,0,0
7402,0,0,0,0,0
4158,1,1,1,1,1
6495,0,0,0,0,0
6432,0,0,0,0,0
4853,0,1,1,1,1
5307,0,0,0,0,0
3661,0,0,0,0,0
5954,0,0,0,0,0
4273,1,1,1,1,1
4525,1,1,1,1,1
4989,1,1,1,1,1
4690,1,1,1,1,1
1071,0,0,0,0,0
537,0,0,0,0,0
1350,0,0,0,0,0
3079,0,0,0,0,0
4217,1,1,1,1,1
5453,0,0,0,0,0
5783,0,0,0,0,0
7456,0,0,0,0,0
6798,0,0,0,0,0
6197,0,0,0,0,0
6095,0,0,1,0,0
923,0,0,0,0,0
4290,1,1,1,1,1
2492,0,0,0,0,0
7562,0,0,0,0,0
2269,0,0,0,0,0
6988,0,0,0,0,0
4460,1,1,1,1,1
1285,0,0,0,0,0
6941,0,0,0,1,0
7620,0,0,1,0,0
382,0,0,0,0,0
2510,0,0,0,0,0
4357,1,1,1,1,1
6875,0,0,0,0,0
1929,0,0,0,0,0
5649,0,0,0,0,0
5250,0,0,0,0,0
1061,1,0,0,0,0
7593,0,0,0,0,0
6523,0,0,0,0,0
2284,0,0,0,0,0
431,0,0,0,0,0
2423,1,0,0,0,0
6352,0,0,0,0,0
5567,0,0,0,0,0
4403,1,1,1,1,1
1336,0,0,0,0,0
1138,0,0,0,0,0
5659,0,0,1,1,0
1597,0,0,0,0,0
101,0,0,0,0,0
796,0,0,0,1,0
5711,0,0,0,0,0
2173,0,0,0,0,0
4821,1,1,1,1,1
7461,0,0,0,0,0
3248,0,0,0,0,0
7308,0,0,0,0,0
3528,0,0,0,0,0
256,0,0,0,0,0
6502,0,0,0,0,0
7154,0,0,0,0,0
3098,0,0,0,0,0
6184,0,0,0,0,0
70,1,0,0,0,0
1282,1,1,1,1,1
3273,0,0,0,0,0
2741,0,0,0,0,0
2481,0,0,0,0,0
1920,0,0,0,0,0
4328,1,1,1,1,1
5874,0,0,0,0,0
7174,0,0,0,0,0
5842,0,0,0,0,0
7127,1,1,0,1,1
4224,1,1,1,1,1
5975,0,0,0,0,0
4200,1,1,1,1,1
2806,1,0,0,1,1
6458,0,0,0,0,0
5571,0,1,0,0,0
1777,0,0,0,0,0
4184,0,1,0,0,0
457,0,0,0,0,0
4303,1,1,1,1,1
6999,0,0,0,0,0
3876,0,0,0,1,0
2353,0,0,0,0,0
273,0,0,0,0,0
774,0,0,0,0,0
7347,0,0,0,0,0
5582,0,0,0,0,0
1414,0,0,0,0,0
1116,0,0,0,0,0
766,0,0,0,0,0
5340,0,0,1,0,0
913,0,0,0,0,0
5937,0,0,0,0,0
2363,0,1,1,1,1
504,1,1,1,0,1
5556,0,0,0,0,0
2417,0,0,0,1,0
1020,0,0,0,0,0
4678,1,1,1,1,1
6671,0,0,0,0,0
6643,0,0,0,0,0
6018,0,0,0,0,0
5367,0,0,0,0,0
3141,0,0,0,0,0
2362,0,0,0,0,0
2180,1,0,0,0,0
4566,0,0,0,0,0
1587,0,0,0,0,0
4855,1,1,1,1,1
1927,0,0,0,0,0
2845,0,0,0,0,0
4657,1,0,1,1,1
4284,1,1,1,1,1
6061,0,0,0,0,0
6587,0,0,0,0,0
3330,0,0,1,0,0
4600,1,1,1,1,1
1778,0,0,0,0,0
5635,0,0,0,0,0
2528,0,0,0,0,0
5670,0,0,0,0,0
7532,0,0,0,0,0
6469,0,0,0,0,0
1418,0,0,0,0,0
4765,1,1,1,1,1
2058,0,0,0,0,0
5832,0,0,0,0,0
4196,1,1,1,1,1
506,0,1,0,0,0
4274,1,1,1,1,1
2866,0,0,0,0,0
3214,0,0,1,0,0
2755,0,0,0,0,0
64,0,0,0,1,0
4425,1,1,1,1,1
6341,0,0,0,0,0
408,0,0,0,0,0
1798,0,0,0,0,0
5350,1,1,1,1,1
4559,1,1,1,1,1
1246,0,0,0,0,0
5322,0,0,0,0,0
4823,1,1,1,1,1
1953,0,0,0,0,0
1908,0,0,0,0,0
3797,0,0,0,0,0
2942,0,0,0,0,0
4087,0,0,0,0,0
5455,0,0,0,0,0
3388,0,0,1,1,0
4122,0,0,0,0,0
4498,1,1,1,1,1
1370,0,0,1,0,0
2289,0,0,0,0,0
769,0,1,0,1,0
7423,0,0,0,1,0
1968,1,1,0,0,1
1906,0,0,0,0,0
3685,0,0,0,0,0
6557,0,0,0,0,0
7439,0,0,0,0,0
1498,0,0,0,0,0
7323,0,0,0,0,0
4739,1,1,1,1,1
2729,0,0,0,0,0
887,0,0,0,0,0
2341,0,0,1,0,0
3285,0,0,0,0,0
5516,0,1,1,1,1
1410,0,0,0,0,0
2922,0,0,0,0,0
7210,0,0,0,0,0
1743,0,0,0,0,0
3468,0,0,0,0,0
6110,0,0,0,0,0
4374,1,1,1,1,1
956,0,0,0,0,0
7294,0,0,0,0,0
4339,1,1,1,0,1
2373,0,0,0,0,0
1582,1,1,1,1,1
6022,0,0,0,0,0
2977,0,0,0,0,0
1977,0,0,0,0,0
756,0,0,0,0,0
7146,0,0,0,0,0
6524,0,0,0,0,0
6907,0,0,0,0,0
3850,0,0,0,0,0
6980,0,0,0,0,0
1462,0,0,0,0,0
4436,1,0,1,0,1
848,0,1,1,0,0
2082,0,0,0,0,0
3734,0,0,0,1,0
4676,1,1,1,1,1
1505,0,0,0,1,0
1649,0,0,0,0,0
3659,1,0,0,0,0
5157,0,0,0,0,0
5844,0,0,0,0,0
5876,0,0,1,1,0
4343,1,1,1,1,1
3632,0,0,0,0,0
5069,0,0,0,0,0
2425,0,0,0,1,0
3398,0,0,0,0,0
5817,0,0,0,0,0
3403,0,0,0,0,0
5209,0,0,0,0,0
1496,0,0,0,0,0
